"","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif_logFC1","signif_logFC2","signif_logFC3","Gene.Symbol","signif"
"CHKB",-0.018571470423827,9.55894724176499,-0.0701911162328794,0.944368227937328,0.996863708343732,-5.05600305672914,FALSE,FALSE,FALSE,"CHKB",FALSE
"SLC28A3",-0.0360507705772245,7.53182375728047,-0.0701161817673356,0.94442751959301,0.996863708343732,-5.0560063022514,FALSE,FALSE,FALSE,"SLC28A3",FALSE
"MLXIPL",0.0251456881125145,7.75606929451306,0.0700744719320796,0.944460522504585,0.996863708343732,-5.05600810726454,FALSE,FALSE,FALSE,"MLXIPL",FALSE
"ABCF1",0.0202805136624374,10.6036373449393,0.0700175110351279,0.944505592979768,0.996863708343732,-5.0560105705403,FALSE,FALSE,FALSE,"ABCF1",FALSE
"HACD2",0.0249138296960051,9.75149420776193,0.0699874536025068,0.944529376084791,0.996863708343732,-5.05601186956777,FALSE,FALSE,FALSE,"HACD2",FALSE
"PPCS",-0.0133773665892163,8.24338576328136,-0.069889959752168,0.944606518969796,0.996863708343732,-5.05601607923687,FALSE,FALSE,FALSE,"PPCS",FALSE
"TBC1D2",0.0243123977772463,7.37598456050928,0.069822310870391,0.944660047071413,0.996863708343732,-5.05601899678802,FALSE,FALSE,FALSE,"TBC1D2",FALSE
"AP3S2",-0.0167305069671369,8.78693348095321,-0.0697898160144667,0.944685759161956,0.996863708343732,-5.05602039721725,FALSE,FALSE,FALSE,"AP3S2",FALSE
"NCOA6",-0.0131485107947128,7.45810309721624,-0.0696491064475705,0.944797098615065,0.996863708343732,-5.05602645384973,FALSE,FALSE,FALSE,"NCOA6",FALSE
"MC1R",-0.0138257842725428,7.56408921599654,-0.0693470394717971,0.945036119335946,0.996863708343732,-5.05603941459631,FALSE,FALSE,FALSE,"MC1R",FALSE
"ATR",0.0150751629951316,7.5861705613982,0.0690151504452231,0.945298743670202,0.996863708343732,-5.05605358998433,FALSE,FALSE,FALSE,"ATR",FALSE
