"Gene","log2FoldChange","pvalue","padj"
"IGSF21",0.625584924388115,0.207055585994025,0.999975617694874
"ENSG00000280222",0.874524880609677,0.0769404930476354,0.999975617694874
"KLHDC7A",0.446008658726043,0.553447341624147,0.999975617694874
"PAX7",0.521421744329978,0.654813861788427,0.999975617694874
"ALDH4A1",-0.0336066804994886,0.929318554483279,0.999975617694874
"IFFO2",-0.474973670559658,0.20793158533698,0.999975617694874
"ENSG00000272084",-0.395895752554611,0.35106582408679,0.999975617694874
"UBR4",-0.0603028647507285,0.699984075893414,0.999975617694874
"ENSG00000230424",-0.62747973718345,0.161546897428935,0.999975617694874
"EMC1",-0.0255992012605568,0.865250117183371,0.999975617694874
"MRTO4",-0.233628192161034,0.340122210475525,0.999975617694874
"AKR7L",0.779513072632533,0.130823370027159,0.999975617694874
"AKR7A3",0.419161151370868,0.410027949623397,0.999975617694874
"AKR7A2",0.669954997483772,0.0925176989339148,0.999975617694874
"RNU6-1099P",1.00650699030074,0.031958619723977,0.855425721278451
"PQLC2",0.0887559349495905,0.795446771485187,0.999975617694874
"CAPZB",-0.142433452997621,0.63012795360448,0.999975617694874
"MINOS1",0.158763291812189,0.635295457517244,0.999975617694874
"ENSG00000226396",-0.177969293386462,0.714293737648447,0.999975617694874
"NBL1",-0.435466528024608,0.312675322076534,0.999975617694874
"TMCO4",0.0349077892788586,0.923147213762603,0.999975617694874
"OTUD3",-0.365754534771612,0.255420121536983,0.999975617694874
"PLA2G2A",-1.07563410232883,0.220861033575183,0.999975617694874
"PLA2G5",0.68809743844666,0.156478652673942,0.999975617694874
"PLA2G2D",-0.859562897767061,0.266760439310868,0.999975617694874
"PLA2G2F",-1.19368898558648,0.290072354350477,0.999975617694874
"ENSG00000227066",0.232310940800634,0.801726968625108,0.999975617694874
"PLA2G2C",0.21374273736487,0.75654147840034,0.999975617694874
"UBXN10",1.16090968928436,0.0517838181813857,0.953258927962929
"VWA5B1",-0.863006585745696,0.223719702009845,0.999975617694874
"CAMK2N1",-0.487361011837862,0.262343091590049,0.999975617694874
"MUL1",0.0582338559070939,0.810549409473554,0.999975617694874
"FAM43B",0.641864232560901,0.364722458157892,0.999975617694874
"CDA",-0.833081860216441,0.144471088228634,0.999975617694874
"PINK1",-0.559752719721846,0.0219503512372283,0.752403986104516
"PINK1-AS",-0.11144660988696,0.624847195548707,0.999975617694874
"DDOST",-0.194263060686378,0.477143263992899,0.999975617694874
"KIF17",0.184404250632637,0.682006627680201,0.999975617694874
